id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47486,Beautiful Historical Location. EZ  parking.,215133,Richard,,Ocean View,37.72377,-122.46962,Entire home/apt,75,30,34,2020-12-05,0.20,1,180,0,
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.79186,-122.42429,Entire home/apt,125,30,36,2024-08-11,0.21,9,180,1,
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.7714,-122.42935,Entire home/apt,125,183,109,2022-08-27,0.63,1,358,0,
51773,Prime Location - Very Small Cozy Room,216682,Jay,,Pacific Heights,37.79255,-122.42483,Private room,48,30,167,2024-02-02,1.01,9,78,1,
54518,Historic SF Financial District Home,255971,Kathy,,Financial District,37.79337,-122.40198,Entire home/apt,139,30,22,2024-08-10,0.13,1,331,4,
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79313,-122.42517,Entire home/apt,107,30,51,2024-06-01,0.30,9,365,1,
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul,,Twin Peaks,37.74778,-122.44566,Entire home/apt,120,30,31,2024-01-07,0.18,1,337,1,
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79183,-122.42425,Private room,62,30,128,2023-05-14,0.75,9,170,0,
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74686,-122.41507,Entire home/apt,178,30,232,2024-10-01,1.35,1,334,5,City registration pending
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75758,-122.42043,Private room,,30,121,2019-09-21,0.73,2,0,0,STR-0000875
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74042,-122.41341,Private room,100,30,192,2019-07-20,1.17,1,116,0,STR-0000109
59831,Lovely quiet private room in Home,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,,60,1,2011-05-23,0.01,1,0,0,
62519,1 Bedroom w Ensuite bath in Charming  Edwardian,304426,Abhay,,Noe Valley,37.7422,-122.42996,Private room,,2,39,2024-09-19,0.33,2,0,1,STR-0000261
63247,Lovely art suite with parking and yard,290120,Anne,,Mission,37.74921,-122.41422,Entire home/apt,188,2,441,2024-09-27,2.59,2,67,1,STR-0000315
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80182,-122.4291,Private room,122,30,77,2024-06-22,0.47,3,264,1,
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Outer Richmond,37.77775,-122.47975,Entire home/apt,95,30,97,2024-06-14,0.60,3,364,1,City registration pending
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75393,-122.42505,Entire home/apt,277,30,51,2024-10-22,0.31,1,32,4,
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77585,-122.46413,Entire home/apt,60,30,72,2024-11-01,0.44,1,47,5,
70139,Noe Valley Studio + Home Office,354456,Rachel,,Bernal Heights,37.74589,-122.42362,Entire home/apt,,30,19,2024-08-18,0.12,1,0,2,
