GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1003679,34.32812,-118.51593,ang20171016t185239-A,145,71
1003679,34.32815,-118.5201,ang20171016t185239-B,195,49
1003679,34.33012,-118.51746,ang20171016t185239-C,70,27
1003679,34.33042,-118.51734,ang20171016t185727-A,453,197
1003679,34.32558,-118.51372,ang20171016t185727-B,158,35
1003679,34.32815,-118.52012,ang20171016t190200-A,271,90
1003679,34.32753,-118.51468,ang20171016t190200-B,51,14
1003679,34.33014,-118.51748,ang20171016t190200-C,53,15
1003679,34.32814,-118.51593,ang20171016t190200-D,89,36
1003679,34.33488,-118.51937,ang20171016t192933-A,362,133
1003679,34.32546,-118.51527,ang20171016t192933-B,245,73
1003679,34.32887,-118.51957,ang20171016t192933-C,192,41
1003679,34.32685,-118.51728,ang20171016t192933-D,160,61
1002107,33.718021,-117.70011,ang20200720t204136-A,466,112
1003679,34.32811,-118.52008,ang20171016t193422-A,815,305
1003679,34.32565,-118.51557,ang20171016t193422-C,44,14
1003679,34.33473,-118.51933,ang20171016t193822-A,444,191
1003679,34.32999,-118.51761,ang20171016t193822-B,120,30
1007693,33.7954683,-117.46394,ang20200906t201220-A,456,235
1003679,34.3253,-118.51572,ang20171016t193822-C,334,84
1003679,34.32689,-118.5174,ang20171016t193822-D,137,60
1003679,34.32814,-118.52012,ang20171016t194329-A,432,164
1003679,34.32645,-118.51128,ang20171016t194329-B,447,141
1003679,34.32546,-118.51523,ang20171016t194751-A,196,57
1007693,33.793339,-117.46271,ang20200919t220130-A,448,184
1003679,34.32812,-118.52013,ang20171016t195222-A,230,97
1003679,34.32716,-118.516,ang20171016t195222-B,347,116
1003679,34.32583,-118.51548,ang20171016t195636-A,149,63
1003679,34.33479,-118.51937,ang20171016t195636-B,564,229
1003679,34.32815,-118.52012,ang20171016t200053-A,109,36
1003679,34.32711,-118.51602,ang20171016t200053-B,123,60
1004743,34.40609,-118.99515,ang20171016t201123-A,1443,822
1004743,34.40404,-118.99511,ang20171016t201123-B,89,82
1004743,34.4051,-118.99399,ang20171016t201557-A,275,143
1004743,34.40761,-118.99769,ang20171016t201557-B,405,225
1004743,34.40539,-118.99576,ang20171016t201557-C,233,120
1004743,34.4052493,-118.99427,ang20200830t192756-1,434,170
1004743,34.40381,-118.99601,ang20171016t201557-E,95,53
1004743,34.40608,-118.99181,ang20171016t202039-A,288,252
1004743,34.40352,-118.99697,ang20171016t202039-B,181,103
1004743,34.40352,-118.99697,ang20171016t202454-A,204,153
1004743,34.40608,-118.99181,ang20171016t202454-B,1257,800
1004743,34.4036,-118.9962,ang20171016t202900-C,306,157
1004743,34.40751,-118.99379,ang20171016t202900-D,1467,857
1004743,34.4051,-118.99399,ang20171016t203319-A,202,151
